"Funding","Accommodation","Distance","FinLit","StudyHrs","Outings","Spending"
1,2,"Close","Low","Low","Low",1901.56
0,3,"Close","Low","Low","Low",5166.57
0,3,"Close","Low","Low","Low",5676.09
0,3,"Close","Low","Low","Low",5072
0,3,"Close","Low","Low","Low",4919.51
0,3,"Close","Low","Low","Low",2538.24
0,3,"Close","Low","Low","Low",4950
0,3,"Close","Low","Low","Low",2430.12
0,3,"Close","Low","Low","Low",7302.02
0,3,"Close","Low","Low","Low",3744.52
0,3,"Close","Low","Low","Low",5644.55
0,3,"Close","Low","Low","Low",6257.17
0,3,"Close","Low","Low","Low",5408.97
0,3,"Close","Low","Low","Low",7622.58
0,3,"Close","Low","Low","Low",4002.39
0,3,"Close","Low","Low","Low",6131.61
1,3,"Close","Low","Low","Low",4287.7
1,3,"Close","Low","Low","Low",9405.41
1,3,"Close","Low","Low","Low",7034.7
1,3,"Close","Low","Low","Low",5333.44
1,3,"Close","Low","Low","Low",7195.53
1,3,"Close","Low","Low","Low",3993.3
1,3,"Close","Low","Low","Low",8389.71
1,3,"Close","Low","Low","Low",3993.43
1,3,"Close","Low","Low","Low",3331.26
1,3,"Close","Low","Low","Low",5808.84
1,3,"Close","Low","Low","Low",7301.17
1,3,"Close","Low","Low","Low",5881.69
1,3,"Close","Low","Low","Low",4645.48
1,3,"Close","Low","Low","Low",7840.07
1,3,"Close","Low","Low","Low",9883.84
0,1,"Far","Low","Low","Low",1200
0,1,"Far","Low","Low","Low",5331.42
0,1,"Far","Low","Low","Low",2116.44
0,1,"Far","Low","Low","Low",4518.93
0,1,"Far","Low","Low","Low",1200
0,1,"Far","Low","Low","Low",2469.99
0,1,"Far","Low","Low","Low",1317.91
0,1,"Far","Low","Low","Low",2091.01
0,1,"Far","Low","Low","Low",1200
0,1,"Far","Low","Low","Low",3509.55
0,1,"Far","Low","Low","Low",4906.84
0,1,"Far","Low","Low","Low",2085.16
0,1,"Far","Low","Low","Low",2524.16
0,1,"Far","Low","Low","Low",1200
0,1,"Far","Low","Low","Low",4543.12
1,1,"Far","Low","Low","Low",4327.02
1,1,"Far","Low","Low","Low",1200
1,1,"Far","Low","Low","Low",5843.78
1,1,"Far","Low","Low","Low",1470.81
1,1,"Far","Low","Low","Low",1664.18
1,1,"Far","Low","Low","Low",1200
1,1,"Far","Low","Low","Low",1430.83
1,1,"Far","Low","Low","Low",2825.83
1,1,"Far","Low","Low","Low",4279.16
1,1,"Far","Low","Low","Low",2226.87
1,1,"Far","Low","Low","Low",3071.67
1,1,"Far","Low","Low","Low",2935.73
1,1,"Far","Low","Low","Low",5332.03
1,1,"Far","Low","Low","Low",7176.41
1,1,"Far","Low","Low","Low",1636.39
0,2,"Far","Low","Low","Low",6895.24
0,2,"Far","Low","Low","Low",7267.47
0,2,"Far","Low","Low","Low",4131.9
0,2,"Far","Low","Low","Low",5229.96
0,2,"Far","Low","Low","Low",1200
0,2,"Far","Low","Low","Low",4523.6
0,2,"Far","Low","Low","Low",2852.16
0,2,"Far","Low","Low","Low",3477.07
0,2,"Far","Low","Low","Low",4661.07
0,2,"Far","Low","Low","Low",5454.99
0,2,"Far","Low","Low","Low",3673.8
0,2,"Far","Low","Low","Low",8103.87
0,2,"Far","Low","Low","Low",4721.86
0,2,"Far","Low","Low","Low",3416.08
0,2,"Far","Low","Low","Low",4478.57
1,2,"Far","Low","Low","Low",4084.57
1,2,"Far","Low","Low","Low",2445.88
1,2,"Far","Low","Low","Low",5080.36
1,2,"Far","Low","Low","Low",5816.25
1,2,"Far","Low","Low","Low",4881.62
1,2,"Far","Low","Low","Low",4863.1
1,2,"Far","Low","Low","Low",4509.41
1,2,"Far","Low","Low","Low",5649.1
1,2,"Far","Low","Low","Low",2132.4
1,2,"Far","Low","Low","Low",6161.16
1,2,"Far","Low","Low","Low",2749.97
1,2,"Far","Low","Low","Low",4802.73
1,2,"Far","Low","Low","Low",5530.16
1,2,"Far","Low","Low","Low",4641.28
1,2,"Far","Low","Low","Low",1676.21
0,3,"Far","Low","Low","Low",6140.14
0,3,"Far","Low","Low","Low",6652.15
0,3,"Far","Low","Low","Low",7732.53
0,3,"Far","Low","Low","Low",6925.62
0,3,"Far","Low","Low","Low",7051.9
0,3,"Far","Low","Low","Low",7985.44
0,3,"Far","Low","Low","Low",4932.71
0,3,"Far","Low","Low","Low",5079.38
0,3,"Far","Low","Low","Low",6086.28
0,3,"Far","Low","Low","Low",6659.22
0,3,"Far","Low","Low","Low",8418.92
0,3,"Far","Low","Low","Low",4672.3
0,3,"Far","Low","Low","Low",4657.98
0,3,"Far","Low","Low","Low",7377.63
0,3,"Far","Low","Low","Low",5436.88
1,3,"Far","Low","Low","Low",6245.02
1,3,"Far","Low","Low","Low",7598.67
1,3,"Far","Low","Low","Low",5585.96
1,3,"Far","Low","Low","Low",5404.7
1,3,"Far","Low","Low","Low",6176.04
1,3,"Far","Low","Low","Low",5953.08
1,3,"Far","Low","Low","Low",5466.94
1,3,"Far","Low","Low","Low",8045.14
1,3,"Far","Low","Low","Low",5806.25
1,3,"Far","Low","Low","Low",6712.79
1,3,"Far","Low","Low","Low",6826.09
1,3,"Far","Low","Low","Low",3533.03
1,3,"Far","Low","Low","Low",7171.36
1,3,"Far","Low","Low","Low",9077.7
1,3,"Far","Low","Low","Low",6577.33
0,1,"Close","Moderate","Low","Low",1200
0,1,"Close","Moderate","Low","Low",4063.41
0,1,"Close","Moderate","Low","Low",2329.87
0,1,"Close","Moderate","Low","Low",3573.13
0,1,"Close","Moderate","Low","Low",2255.73
0,1,"Close","Moderate","Low","Low",2912.12
0,1,"Close","Moderate","Low","Low",4285.88
0,1,"Close","Moderate","Low","Low",2985.84
0,1,"Close","Moderate","Low","Low",2519.14
0,1,"Close","Moderate","Low","Low",1200
0,1,"Close","Moderate","Low","Low",2857.79
0,1,"Close","Moderate","Low","Low",1216.52
0,1,"Close","Moderate","Low","Low",5497.83
0,1,"Close","Moderate","Low","Low",2465.72
0,1,"Close","Moderate","Low","Low",1200
1,1,"Close","Moderate","Low","Low",5107.71
1,1,"Close","Moderate","Low","Low",1640.99
1,1,"Close","Moderate","Low","Low",1200
1,1,"Close","Moderate","Low","Low",1200
1,1,"Close","Moderate","Low","Low",2468.73
1,1,"Close","Moderate","Low","Low",1687.16
1,1,"Close","Moderate","Low","Low",3156.68
1,1,"Close","Moderate","Low","Low",2021.57
1,1,"Close","Moderate","Low","Low",1200
1,1,"Close","Moderate","Low","Low",1922.04
1,1,"Close","Moderate","Low","Low",5315.78
1,1,"Close","Moderate","Low","Low",1669.57
1,1,"Close","Moderate","Low","Low",1428.37
1,1,"Close","Moderate","Low","Low",2201.03
1,1,"Close","Moderate","Low","Low",5127.55
0,2,"Close","Moderate","Low","Low",1312.26
0,2,"Close","Moderate","Low","Low",4038.1
0,2,"Close","Moderate","Low","Low",1737.1
0,2,"Close","Moderate","Low","Low",2209.47
0,2,"Close","Moderate","Low","Low",2163.89
0,2,"Close","Moderate","Low","Low",4038.54
0,2,"Close","Moderate","Low","Low",3754.31
0,2,"Close","Moderate","Low","Low",4525.7
0,2,"Close","Moderate","Low","Low",4508.17
0,2,"Close","Moderate","Low","Low",6316.72
0,2,"Close","Moderate","Low","Low",2866.25
0,2,"Close","Moderate","Low","Low",1200
0,2,"Close","Moderate","Low","Low",1856.8
0,2,"Close","Moderate","Low","Low",1469.7
0,2,"Close","Moderate","Low","Low",2261.67
1,2,"Close","Moderate","Low","Low",5149.77
1,2,"Close","Moderate","Low","Low",2311.34
1,2,"Close","Moderate","Low","Low",1920.45
1,2,"Close","Moderate","Low","Low",4062.78
1,2,"Close","Moderate","Low","Low",4406.25
1,2,"Close","Moderate","Low","Low",2848.84
1,2,"Close","Moderate","Low","Low",3930.59
1,2,"Close","Moderate","Low","Low",4071.97
1,2,"Close","Moderate","Low","Low",3856.67
1,2,"Close","Moderate","Low","Low",2308.51
1,2,"Close","Moderate","Low","Low",4469.05
1,2,"Close","Moderate","Low","Low",1200
1,2,"Close","Moderate","Low","Low",4263.17
1,2,"Close","Moderate","Low","Low",3916
1,2,"Close","Moderate","Low","Low",6635.11
0,3,"Close","Moderate","Low","Low",5534.35
0,3,"Close","Moderate","Low","Low",5282.19
0,3,"Close","Moderate","Low","Low",7073.01
0,3,"Close","Moderate","Low","Low",6309.96
0,3,"Close","Moderate","Low","Low",5092.56
0,3,"Close","Moderate","Low","Low",5064.99
0,3,"Close","Moderate","Low","Low",5328.53
0,3,"Close","Moderate","Low","Low",3334.29
0,3,"Close","Moderate","Low","Low",7139.5
0,3,"Close","Moderate","Low","Low",4209.31
0,3,"Close","Moderate","Low","Low",4611.22
0,3,"Close","Moderate","Low","Low",6235.56
0,3,"Close","Moderate","Low","Low",4441.64
0,3,"Close","Moderate","Low","Low",4929.25
0,3,"Close","Moderate","Low","Low",7623.73
1,3,"Close","Moderate","Low","Low",4552.85
1,3,"Close","Moderate","Low","Low",5225.69
1,3,"Close","Moderate","Low","Low",8076.79
1,3,"Close","Moderate","Low","Low",5034.94
1,3,"Close","Moderate","Low","Low",4686.35
1,3,"Close","Moderate","Low","Low",6025.08
1,3,"Close","Moderate","Low","Low",6611.65
1,3,"Close","Moderate","Low","Low",4523.73
1,3,"Close","Moderate","Low","Low",5371.84
1,3,"Close","Moderate","Low","Low",5396
1,3,"Close","Moderate","Low","Low",4008.24
1,3,"Close","Moderate","Low","Low",5631.42
1,3,"Close","Moderate","Low","Low",8391.29
1,3,"Close","Moderate","Low","Low",7061.58
1,3,"Close","Moderate","Low","Low",4395.62
0,1,"Far","Moderate","Low","Low",3180.61
0,1,"Far","Moderate","Low","Low",2191.9
0,1,"Far","Moderate","Low","Low",2330.07
0,1,"Far","Moderate","Low","Low",4039.39
0,1,"Far","Moderate","Low","Low",3599.8
0,1,"Far","Moderate","Low","Low",4129.95
0,1,"Far","Moderate","Low","Low",3355.77
0,1,"Far","Moderate","Low","Low",1278.16
0,1,"Far","Moderate","Low","Low",1779.75
0,1,"Far","Moderate","Low","Low",1200
0,1,"Far","Moderate","Low","Low",3622.53
0,1,"Far","Moderate","Low","Low",4843.44
0,1,"Far","Moderate","Low","Low",1200
0,1,"Far","Moderate","Low","Low",2731.27
0,1,"Far","Moderate","Low","Low",3445.78
1,1,"Far","Moderate","Low","Low",2738.48
1,1,"Far","Moderate","Low","Low",1737.2
1,1,"Far","Moderate","Low","Low",1427.6
1,1,"Far","Moderate","Low","Low",5215.41
1,1,"Far","Moderate","Low","Low",2749.96
1,1,"Far","Moderate","Low","Low",5055.05
1,1,"Far","Moderate","Low","Low",2026.49
1,1,"Far","Moderate","Low","Low",5224.16
1,1,"Far","Moderate","Low","Low",3989.24
1,1,"Far","Moderate","Low","Low",3142.14
1,1,"Far","Moderate","Low","Low",5020.51
1,1,"Far","Moderate","Low","Low",2493.42
1,1,"Far","Moderate","Low","Low",2500.44
1,1,"Far","Moderate","Low","Low",3088.86
1,1,"Far","Moderate","Low","Low",2934.22
0,2,"Far","Moderate","Low","Low",3204.82
0,2,"Far","Moderate","Low","Low",3148.13
0,2,"Far","Moderate","Low","Low",2034.06
0,2,"Far","Moderate","Low","Low",5030.96
0,2,"Far","Moderate","Low","Low",2065.52
0,2,"Far","Moderate","Low","Low",2196.45
0,2,"Far","Moderate","Low","Low",2020.25
0,2,"Far","Moderate","Low","Low",6187.39
0,2,"Far","Moderate","Low","Low",4368.95
0,2,"Far","Moderate","Low","Low",4442.29
0,2,"Far","Moderate","Low","Low",1200
0,2,"Far","Moderate","Low","Low",2822.82
0,2,"Far","Moderate","Low","Low",5360.33
0,2,"Far","Moderate","Low","Low",5742.9
0,2,"Far","Moderate","Low","Low",1200
1,2,"Far","Moderate","Low","Low",1200
1,2,"Far","Moderate","Low","Low",1692.04
1,2,"Far","Moderate","Low","Low",1684.39
1,2,"Far","Moderate","Low","Low",5166.69
1,2,"Far","Moderate","Low","Low",4700.27
1,2,"Far","Moderate","Low","Low",6881.52
1,2,"Far","Moderate","Low","Low",4271.73
1,2,"Far","Moderate","Low","Low",3381.39
1,2,"Far","Moderate","Low","Low",6610.92
1,2,"Far","Moderate","Low","Low",5229.92
1,2,"Far","Moderate","Low","Low",5112.06
1,2,"Far","Moderate","Low","Low",5719.05
1,2,"Far","Moderate","Low","Low",3596.68
1,2,"Far","Moderate","Low","Low",4549.99
1,2,"Far","Moderate","Low","Low",5737.88
0,3,"Far","Moderate","Low","Low",2578.74
0,3,"Far","Moderate","Low","Low",5825.59
0,3,"Far","Moderate","Low","Low",4362.88
0,3,"Far","Moderate","Low","Low",4313.46
0,3,"Far","Moderate","Low","Low",4519.42
0,3,"Far","Moderate","Low","Low",6396.36
0,3,"Far","Moderate","Low","Low",5771.37
0,3,"Far","Moderate","Low","Low",3954.98
0,3,"Far","Moderate","Low","Low",6768.04
0,3,"Far","Moderate","Low","Low",6602.22
0,3,"Far","Moderate","Low","Low",6581.93
0,3,"Far","Moderate","Low","Low",6396.36
0,3,"Far","Moderate","Low","Low",7809.18
0,3,"Far","Moderate","Low","Low",4689.36
0,3,"Far","Moderate","Low","Low",4811.9
1,3,"Far","Moderate","Low","Low",7514.19
1,3,"Far","Moderate","Low","Low",7292.87
1,3,"Far","Moderate","Low","Low",8129.67
1,3,"Far","Moderate","Low","Low",6281.21
1,3,"Far","Moderate","Low","Low",7298.31
1,3,"Far","Moderate","Low","Low",8153.82
1,3,"Far","Moderate","Low","Low",5136.15
1,3,"Far","Moderate","Low","Low",9208.08
1,3,"Far","Moderate","Low","Low",5095.47
1,3,"Far","Moderate","Low","Low",3603.64
1,3,"Far","Moderate","Low","Low",6095.41
1,3,"Far","Moderate","Low","Low",6636.83
1,3,"Far","Moderate","Low","Low",5172.66
1,3,"Far","Moderate","Low","Low",4623
1,3,"Far","Moderate","Low","Low",5192.13
0,1,"Close","High","Low","Low",3251.07
0,1,"Close","High","Low","Low",1200
0,1,"Close","High","Low","Low",1200
0,1,"Close","High","Low","Low",1200
0,1,"Close","High","Low","Low",3168.79
0,1,"Close","High","Low","Low",2876.54
0,1,"Close","High","Low","Low",1200
0,1,"Close","High","Low","Low",1476.39
0,1,"Close","High","Low","Low",2428.56
0,1,"Close","High","Low","Low",2200.4
0,1,"Close","High","Low","Low",2277.71
0,1,"Close","High","Low","Low",1725.75
0,1,"Close","High","Low","Low",1938.84
0,1,"Close","High","Low","Low",1200
0,1,"Close","High","Low","Low",4889.27
1,1,"Close","High","Low","Low",1595.29
1,1,"Close","High","Low","Low",2711.97
1,1,"Close","High","Low","Low",1200
1,1,"Close","High","Low","Low",1297.39
1,1,"Close","High","Low","Low",3147.61
1,1,"Close","High","Low","Low",2141.73
1,1,"Close","High","Low","Low",2332.21
1,1,"Close","High","Low","Low",1200
1,1,"Close","High","Low","Low",2712.07
1,1,"Close","High","Low","Low",1200
1,1,"Close","High","Low","Low",1200
1,1,"Close","High","Low","Low",2926.92
1,1,"Close","High","Low","Low",1925.96
1,1,"Close","High","Low","Low",1200
1,1,"Close","High","Low","Low",2354.1
0,2,"Close","High","Low","Low",1200
0,2,"Close","High","Low","Low",5680.17
0,2,"Close","High","Low","Low",1200
0,2,"Close","High","Low","Low",2789.77
0,2,"Close","High","Low","Low",1874.59
0,2,"Close","High","Low","Low",1200
0,2,"Close","High","Low","Low",2795.2
0,2,"Close","High","Low","Low",1578.56
0,2,"Close","High","Low","Low",4766.62
0,2,"Close","High","Low","Low",1200
0,2,"Close","High","Low","Low",4455.87
0,2,"Close","High","Low","Low",3161.97
0,2,"Close","High","Low","Low",1200
0,2,"Close","High","Low","Low",1936.2
0,2,"Close","High","Low","Low",1200
1,2,"Close","High","Low","Low",1200
1,2,"Close","High","Low","Low",5899.8
1,2,"Close","High","Low","Low",5338.82
1,2,"Close","High","Low","Low",2981.5
1,2,"Close","High","Low","Low",1200
1,2,"Close","High","Low","Low",3596.56
1,2,"Close","High","Low","Low",1200
1,2,"Close","High","Low","Low",3735.42
1,2,"Close","High","Low","Low",4181.97
1,2,"Close","High","Low","Low",3062.28
1,2,"Close","High","Low","Low",2635.64
1,2,"Close","High","Low","Low",4525.83
1,2,"Close","High","Low","Low",4516.97
1,2,"Close","High","Low","Low",3445.7
1,2,"Close","High","Low","Low",2544.49
0,3,"Close","High","Low","Low",6146.37
0,3,"Close","High","Low","Low",4931.02
0,3,"Close","High","Low","Low",6989.5
0,3,"Close","High","Low","Low",2484.4
0,3,"Close","High","Low","Low",4460.49
0,3,"Close","High","Low","Low",6417.66
0,3,"Close","High","Low","Low",3460.35
0,3,"Close","High","Low","Low",1753.06
0,3,"Close","High","Low","Low",5533.71
0,3,"Close","High","Low","Low",3616.34
0,3,"Close","High","Low","Low",3792.58
0,3,"Close","High","Low","Low",5868.67
0,3,"Close","High","Low","Low",8089.11
0,3,"Close","High","Low","Low",4673.89
0,3,"Close","High","Low","Low",6162.95
1,3,"Close","High","Low","Low",1594.56
1,3,"Close","High","Low","Low",5249.21
1,3,"Close","High","Low","Low",2230.4
1,3,"Close","High","Low","Low",2291.22
1,3,"Close","High","Low","Low",7423.69
1,3,"Close","High","Low","Low",6251.98
1,3,"Close","High","Low","Low",6050.54
1,3,"Close","High","Low","Low",4218.35
1,3,"Close","High","Low","Low",2984.72
1,3,"Close","High","Low","Low",5808.86
1,3,"Close","High","Low","Low",3236.43
1,3,"Close","High","Low","Low",9092.61
1,3,"Close","High","Low","Low",5229.16
1,3,"Close","High","Low","Low",5621.77
1,3,"Close","High","Low","Low",2493.99
0,1,"Far","High","Low","Low",2956.19
0,1,"Far","High","Low","Low",3973.4
0,1,"Far","High","Low","Low",2615.47
0,1,"Far","High","Low","Low",2191.65
0,1,"Far","High","Low","Low",4683
0,1,"Far","High","Low","Low",3286.07
0,1,"Far","High","Low","Low",3146.64
0,1,"Far","High","Low","Low",3858.75
0,1,"Far","High","Low","Low",2664.12
0,1,"Far","High","Low","Low",7286.56
0,1,"Far","High","Low","Low",2677.42
0,1,"Far","High","Low","Low",3871
0,1,"Far","High","Low","Low",3612.12
0,1,"Far","High","Low","Low",3284.13
0,1,"Far","High","Low","Low",3841.55
1,1,"Far","High","Low","Low",3178.48
1,1,"Far","High","Low","Low",1200
1,1,"Far","High","Low","Low",1278.78
1,1,"Far","High","Low","Low",6465.85
1,1,"Far","High","Low","Low",5769.45
1,1,"Far","High","Low","Low",2419.26
1,1,"Far","High","Low","Low",1200
1,1,"Far","High","Low","Low",1346.62
1,1,"Far","High","Low","Low",1200
1,1,"Far","High","Low","Low",1200
1,1,"Far","High","Low","Low",4167.66
1,1,"Far","High","Low","Low",2806.17
1,1,"Far","High","Low","Low",4973.35
1,1,"Far","High","Low","Low",1200
1,1,"Far","High","Low","Low",1200
0,2,"Far","High","Low","Low",4009.64
0,2,"Far","High","Low","Low",4858.31
0,2,"Far","High","Low","Low",2663.6
0,2,"Far","High","Low","Low",1358.46
0,2,"Far","High","Low","Low",6008.77
0,2,"Far","High","Low","Low",5729.2
0,2,"Far","High","Low","Low",4694.57
0,2,"Far","High","Low","Low",4294.03
0,2,"Far","High","Low","Low",1200
0,2,"Far","High","Low","Low",1200
0,2,"Far","High","Low","Low",6454.74
0,2,"Far","High","Low","Low",3443.71
0,2,"Far","High","Low","Low",1589.34
0,2,"Far","High","Low","Low",5465.17
0,2,"Far","High","Low","Low",1935.55
1,2,"Far","High","Low","Low",2691.39
1,2,"Far","High","Low","Low",4182.01
1,2,"Far","High","Low","Low",1200
1,2,"Far","High","Low","Low",2620.91
1,2,"Far","High","Low","Low",1700.01
1,2,"Far","High","Low","Low",5388.1
1,2,"Far","High","Low","Low",3995.11
1,2,"Far","High","Low","Low",2974.09
1,2,"Far","High","Low","Low",5630.58
1,2,"Far","High","Low","Low",3374.97
1,2,"Far","High","Low","Low",3095.59
1,2,"Far","High","Low","Low",3672.43
1,2,"Far","High","Low","Low",2385.75
1,2,"Far","High","Low","Low",3544.17
1,2,"Far","High","Low","Low",4986.45
0,3,"Far","High","Low","Low",5636.04
0,3,"Far","High","Low","Low",7982.56
0,3,"Far","High","Low","Low",4320.96
0,3,"Far","High","Low","Low",4790.86
0,3,"Far","High","Low","Low",7505.14
0,3,"Far","High","Low","Low",3309.33
0,3,"Far","High","Low","Low",2975.35
0,3,"Far","High","Low","Low",6363.3
0,3,"Far","High","Low","Low",4625.37
0,3,"Far","High","Low","Low",3684.26
0,3,"Far","High","Low","Low",3770.07
0,3,"Far","High","Low","Low",6607.96
0,3,"Far","High","Low","Low",4162.99
0,3,"Far","High","Low","Low",5231.27
0,3,"Far","High","Low","Low",4003.73
1,3,"Far","High","Low","Low",6516.85
1,3,"Far","High","Low","Low",4701.81
1,3,"Far","High","Low","Low",6542.39
1,3,"Far","High","Low","Low",4895.73
1,3,"Far","High","Low","Low",8863.95
1,3,"Far","High","Low","Low",6463.43
1,3,"Far","High","Low","Low",2723.4
1,3,"Far","High","Low","Low",8068.64
1,3,"Far","High","Low","Low",5676.9
1,3,"Far","High","Low","Low",6175.86
1,3,"Far","High","Low","Low",8091.28
1,3,"Far","High","Low","Low",6469.61
1,3,"Far","High","Low","Low",10026.26
1,3,"Far","High","Low","Low",4931.55
1,3,"Far","High","Low","Low",6381.47
0,1,"Close","Low","Moderate","Low",2984.02
0,1,"Close","Low","Moderate","Low",3506.64
0,1,"Close","Low","Moderate","Low",3571.6
0,1,"Close","Low","Moderate","Low",3105.35
0,1,"Close","Low","Moderate","Low",1200
0,1,"Close","Low","Moderate","Low",1517.94
0,1,"Close","Low","Moderate","Low",2317.21
0,1,"Close","Low","Moderate","Low",1384.45
0,1,"Close","Low","Moderate","Low",2731.54
0,1,"Close","Low","Moderate","Low",1200
0,1,"Close","Low","Moderate","Low",3696.74
0,1,"Close","Low","Moderate","Low",2542.44
0,1,"Close","Low","Moderate","Low",3103.94
0,1,"Close","Low","Moderate","Low",1834.2
0,1,"Close","Low","Moderate","Low",1200
1,1,"Close","Low","Moderate","Low",5108.76
1,1,"Close","Low","Moderate","Low",1276.86
1,1,"Close","Low","Moderate","Low",1379.37
1,1,"Close","Low","Moderate","Low",1569.52
1,1,"Close","Low","Moderate","Low",5705.18
1,1,"Close","Low","Moderate","Low",2527.17
1,1,"Close","Low","Moderate","Low",4533.93
1,1,"Close","Low","Moderate","Low",1200
1,1,"Close","Low","Moderate","Low",2000.2
1,1,"Close","Low","Moderate","Low",2437.4
1,1,"Close","Low","Moderate","Low",3785.98
1,1,"Close","Low","Moderate","Low",2199.28
1,1,"Close","Low","Moderate","Low",3849.33
1,1,"Close","Low","Moderate","Low",2886.07
1,1,"Close","Low","Moderate","Low",2997.42
0,2,"Close","Low","Moderate","Low",6549.99
0,2,"Close","Low","Moderate","Low",1932.55
0,2,"Close","Low","Moderate","Low",4659.21
0,2,"Close","Low","Moderate","Low",4860.61
0,2,"Close","Low","Moderate","Low",5801.19
0,2,"Close","Low","Moderate","Low",3584.8
0,2,"Close","Low","Moderate","Low",3463.8
0,2,"Close","Low","Moderate","Low",3302.96
0,2,"Close","Low","Moderate","Low",4230.13
0,2,"Close","Low","Moderate","Low",4057.39
0,2,"Close","Low","Moderate","Low",2585
0,2,"Close","Low","Moderate","Low",4511.9
0,2,"Close","Low","Moderate","Low",4030.31
0,2,"Close","Low","Moderate","Low",4205.2
0,2,"Close","Low","Moderate","Low",7694.61
1,2,"Close","Low","Moderate","Low",4007.18
1,2,"Close","Low","Moderate","Low",2702.33
1,2,"Close","Low","Moderate","Low",4246.65
1,2,"Close","Low","Moderate","Low",3111.82
1,2,"Close","Low","Moderate","Low",2278.92
1,2,"Close","Low","Moderate","Low",2928.77
1,2,"Close","Low","Moderate","Low",3731.87
1,2,"Close","Low","Moderate","Low",5154.73
1,2,"Close","Low","Moderate","Low",4139.04
1,2,"Close","Low","Moderate","Low",2190.12
1,2,"Close","Low","Moderate","Low",3293.21
1,2,"Close","Low","Moderate","Low",1200
1,2,"Close","Low","Moderate","Low",3216.32
1,2,"Close","Low","Moderate","Low",1386
1,2,"Close","Low","Moderate","Low",1256.37
0,3,"Close","Low","Moderate","Low",6987.53
0,3,"Close","Low","Moderate","Low",5106.08
0,3,"Close","Low","Moderate","Low",5405.43
0,3,"Close","Low","Moderate","Low",6244.17
0,3,"Close","Low","Moderate","Low",4647.5
0,3,"Close","Low","Moderate","Low",5052.01
0,3,"Close","Low","Moderate","Low",4455.28
0,3,"Close","Low","Moderate","Low",4817
0,3,"Close","Low","Moderate","Low",3668.07
0,3,"Close","Low","Moderate","Low",6700.84
0,3,"Close","Low","Moderate","Low",6421.73
0,3,"Close","Low","Moderate","Low",4103.48
0,3,"Close","Low","Moderate","Low",8339.65
0,3,"Close","Low","Moderate","Low",4987.62
0,3,"Close","Low","Moderate","Low",4903.19
1,3,"Close","Low","Moderate","Low",3426.1
1,3,"Close","Low","Moderate","Low",5956.44
1,3,"Close","Low","Moderate","Low",4396.77
1,3,"Close","Low","Moderate","Low",6479.79
1,3,"Close","Low","Moderate","Low",6222.43
1,3,"Close","Low","Moderate","Low",7318.39
1,3,"Close","Low","Moderate","Low",4787.64
1,3,"Close","Low","Moderate","Low",3156.73
