"student_spending","hours_study_cat","fin_lit_cat","living_arr","funding_cat","social_outings_cat","distance_cat"
2288.4794133844,"High","Low","On-campus","Self","Low","Near"
2134.52207235582,"High","Low","On-campus","Self","Low","Near"
2073.50933406502,"High","Low","On-campus","Self","Low","Near"
2054.8822497469,"High","Low","On-campus","Self","Low","Near"
1676.32325526987,"Low","Medium","On-campus","Self","Low","Near"
1798.0206804951,"Low","Medium","On-campus","Self","Low","Near"
1533.65091210793,"Low","Medium","On-campus","Self","Low","Near"
2392.23899133463,"Low","Medium","On-campus","Self","Low","Near"
2151.99049957625,"Low","Medium","On-campus","Self","Low","Near"
1569.22285419916,"Low","Medium","On-campus","Self","Low","Near"
1749.27879117523,"Low","Medium","On-campus","Self","Low","Near"
1733.3361615942,"Low","Medium","On-campus","Self","Low","Near"
2044.99127958408,"Low","Medium","On-campus","Self","Low","Near"
1829.15773338204,"Low","Medium","On-campus","Self","Low","Near"
1913.32962849869,"Low","Medium","On-campus","Self","Low","Near"
1842.86331116282,"Low","Medium","On-campus","Self","Low","Near"
1839.28238567717,"Low","Medium","On-campus","Self","Low","Near"
2192.15057100361,"Low","Medium","On-campus","Self","Low","Near"
1793.55725358518,"Low","Medium","On-campus","Self","Low","Near"
2229.11765110738,"Low","Medium","On-campus","Self","Low","Near"
1462.81179894244,"Low","Medium","On-campus","Self","Low","Near"
1996.15343740902,"Low","Medium","On-campus","Self","Low","Near"
1880.96356096115,"Low","Medium","On-campus","Self","Low","Near"
1903.98539218599,"Low","Medium","On-campus","Self","Low","Near"
1944.90987068997,"High","Medium","On-campus","Self","Low","Near"
1724.41913672267,"High","Medium","On-campus","Self","Low","Near"
1766.69815408265,"High","Medium","On-campus","Self","Low","Near"
1595.35615422323,"High","Medium","On-campus","Self","Low","Near"
1582.05219338111,"High","Medium","On-campus","Self","Low","Near"
1925.88216035106,"High","Medium","On-campus","Self","Low","Near"
1962.05244465736,"High","Medium","On-campus","Self","Low","Near"
1863.25105668263,"High","Medium","On-campus","Self","Low","Near"
2080.56686696993,"High","Medium","On-campus","Self","Low","Near"
2362.52117140679,"High","Medium","On-campus","Self","Low","Near"
1727.24220848587,"High","Medium","On-campus","Self","Low","Near"
1272.7077810898,"High","Medium","On-campus","Self","Low","Near"
2101.43463111556,"High","Medium","On-campus","Self","Low","Near"
1672.6998093544,"High","Medium","On-campus","Self","Low","Near"
1677.99784588316,"High","Medium","On-campus","Self","Low","Near"
2106.39284242417,"High","Medium","On-campus","Self","Low","Near"
1778.80674823725,"High","Medium","On-campus","Self","Low","Near"
1544.82057193637,"High","Medium","On-campus","Self","Low","Near"
1895.32586993729,"High","Medium","On-campus","Self","Low","Near"
1815.27715939024,"High","Medium","On-campus","Self","Low","Near"
1551.44104647497,"Low","High","On-campus","Self","Low","Near"
1646.32010028158,"Low","High","On-campus","Self","Low","Near"
1457.3349920519,"Low","High","On-campus","Self","Low","Near"
1711.09413712971,"Low","High","On-campus","Self","Low","Near"
1494.87835954531,"Low","High","On-campus","Self","Low","Near"
1632.94549097892,"Low","High","On-campus","Self","Low","Near"
1824.20975328734,"Low","High","On-campus","Self","Low","Near"
1658.79537270845,"Low","High","On-campus","Self","Low","Near"
1468.51710361719,"Low","High","On-campus","Self","Low","Near"
1837.20190461277,"Low","High","On-campus","Self","Low","Near"
1798.37596399053,"Low","High","On-campus","Self","Low","Near"
1687.09923987702,"Low","High","On-campus","Self","Low","Near"
1609.68293377786,"Low","High","On-campus","Self","Low","Near"
1393.02348099016,"Low","High","On-campus","Self","Low","Near"
1890.1631121325,"Low","High","On-campus","Self","Low","Near"
1399.93510321322,"Low","High","On-campus","Self","Low","Near"
2096.83324825414,"Low","High","On-campus","Self","Low","Near"
1933.1526565463,"Low","High","On-campus","Self","Low","Near"
1491.07491022488,"Low","High","On-campus","Self","Low","Near"
1293.3947749233,"Low","High","On-campus","Self","Low","Near"
1372.39835907517,"High","High","On-campus","Self","Low","Near"
1614.22092728913,"High","High","On-campus","Self","Low","Near"
1488.32703038441,"High","High","On-campus","Self","Low","Near"
1463.11435015057,"High","High","On-campus","Self","Low","Near"
1312.09535818375,"High","High","On-campus","Self","Low","Near"
1538.74306879777,"High","High","On-campus","Self","Low","Near"
1353.77388263573,"High","High","On-campus","Self","Low","Near"
1133.01451585297,"High","High","On-campus","Self","Low","Near"
1454.94336992806,"High","High","On-campus","Self","Low","Near"
1779.74915226519,"High","High","On-campus","Self","Low","Near"
1406.1632593479,"High","High","On-campus","Self","Low","Near"
1701.99108055626,"High","High","On-campus","Self","Low","Near"
1145.52932292771,"High","High","On-campus","Self","Low","Near"
1536.10950861887,"High","High","On-campus","Self","Low","Near"
1679.85180098587,"High","High","On-campus","Self","Low","Near"
1625.28834054168,"High","High","On-campus","Self","Low","Near"
1576.41904853724,"High","High","On-campus","Self","Low","Near"
1389.82349792366,"High","High","On-campus","Self","Low","Near"
1337.5739134916,"High","High","On-campus","Self","Low","Near"
1293.96780234877,"High","High","On-campus","Self","Low","Near"
2679.41164927503,"Low","Low","Off-campus","Self","Low","Near"
2413.1313464538,"Low","Low","Off-campus","Self","Low","Near"
2527.36063907483,"Low","Low","Off-campus","Self","Low","Near"
2585.97695195044,"Low","Low","Off-campus","Self","Low","Near"
3110.96550130805,"Low","Low","Off-campus","Self","Low","Near"
2487.01252457614,"Low","Low","Off-campus","Self","Low","Near"
2708.84664307121,"Low","Low","Off-campus","Self","Low","Near"
2669.49021239093,"Low","Low","Off-campus","Self","Low","Near"
2409.53584146747,"Low","Low","Off-campus","Self","Low","Near"
2632.1729784691,"Low","Low","Off-campus","Self","Low","Near"
3011.13771460584,"Low","Low","Off-campus","Self","Low","Near"
2762.8760132698,"Low","Low","Off-campus","Self","Low","Near"
2660.30823049823,"Low","Low","Off-campus","Self","Low","Near"
2544.37579191509,"Low","Low","Off-campus","Self","Low","Near"
2136.68819461487,"Low","Low","Off-campus","Self","Low","Near"
2932.83430335354,"Low","Low","Off-campus","Self","Low","Near"
2284.83998226879,"Low","Low","Off-campus","Self","Low","Near"
2834.98687771933,"Low","Low","Off-campus","Self","Low","Near"
3127.27589230437,"Low","Low","Off-campus","Self","Low","Near"
2289.02670975705,"Low","Low","Off-campus","Self","Low","Near"
2825.44608384368,"High","Low","Off-campus","Self","Low","Near"
2584.45062764938,"High","Low","Off-campus","Self","Low","Near"
2256.96396021363,"High","Low","Off-campus","Self","Low","Near"
2271.33308655456,"High","Low","Off-campus","Self","Low","Near"
2249.61595660635,"High","Low","Off-campus","Self","Low","Near"
2517.27336945742,"High","Low","Off-campus","Self","Low","Near"
2284.56110375103,"High","Low","Off-campus","Self","Low","Near"
2821.97919324396,"High","Low","Off-campus","Self","Low","Near"
3175.02723513142,"High","Low","Off-campus","Self","Low","Near"
2328.24238099121,"High","Low","Off-campus","Self","Low","Near"
2846.93471186879,"High","Low","Off-campus","Self","Low","Near"
2842.26056025023,"High","Low","Off-campus","Self","Low","Near"
2733.05064473753,"High","Low","Off-campus","Self","Low","Near"
2397.90584793075,"High","Low","Off-campus","Self","Low","Near"
2620.13684834234,"High","Low","Off-campus","Self","Low","Near"
2579.90116620744,"High","Low","Off-campus","Self","Low","Near"
2790.74738330512,"High","Low","Off-campus","Self","Low","Near"
2556.89031097404,"High","Low","Off-campus","Self","Low","Near"
2894.24334667141,"High","Low","Off-campus","Self","Low","Near"
2556.35478555825,"High","Low","Off-campus","Self","Low","Near"
2613.17786639483,"Low","Medium","Off-campus","Self","Low","Near"
2087.70574833348,"Low","Medium","Off-campus","Self","Low","Near"
2034.96118881047,"Low","Medium","Off-campus","Self","Low","Near"
3160.2599837356,"Low","Medium","Off-campus","Self","Low","Near"
2245.78560295989,"Low","Medium","Off-campus","Self","Low","Near"
2424.55689788518,"Low","Medium","Off-campus","Self","Low","Near"
2509.14241850846,"Low","Medium","Off-campus","Self","Low","Near"
2229.05484357281,"Low","Medium","Off-campus","Self","Low","Near"
2479.2155110784,"Low","Medium","Off-campus","Self","Low","Near"
2442.24113184627,"Low","Medium","Off-campus","Self","Low","Near"
2296.15487308958,"Low","Medium","Off-campus","Self","Low","Near"
2366.32325838133,"Low","Medium","Off-campus","Self","Low","Near"
2341.48318656538,"Low","Medium","Off-campus","Self","Low","Near"
2882.11297475405,"Low","Medium","Off-campus","Self","Low","Near"
2164.66597593179,"Low","Medium","Off-campus","Self","Low","Near"
2076.00093323133,"Low","Medium","Off-campus","Self","Low","Near"
2359.44709979277,"Low","Medium","Off-campus","Self","Low","Near"
2427.62018736078,"Low","Medium","Off-campus","Self","Low","Near"
2459.13086972755,"Low","Medium","Off-campus","Self","Low","Near"
2235.40866682222,"Low","Medium","Off-campus","Self","Low","Near"
2084.1684665072,"High","Medium","Off-campus","Self","Low","Near"
2665.79629402237,"High","Medium","Off-campus","Self","Low","Near"
2262.58740301161,"High","Medium","Off-campus","Self","Low","Near"
2133.62178433666,"High","Medium","Off-campus","Self","Low","Near"
2290.93010776473,"High","Medium","Off-campus","Self","Low","Near"
2300.70602641286,"High","Medium","Off-campus","Self","Low","Near"
2627.48007242841,"High","Medium","Off-campus","Self","Low","Near"
2371.1843230493,"High","Medium","Off-campus","Self","Low","Near"
2538.51344629613,"High","Medium","Off-campus","Self","Low","Near"
2225.17699570693,"High","Medium","Off-campus","Self","Low","Near"
2403.6113273954,"High","Medium","Off-campus","Self","Low","Near"
2268.82852212729,"High","Medium","Off-campus","Self","Low","Near"
2373.64588204339,"High","Medium","Off-campus","Self","Low","Near"
2126.15916050561,"High","Medium","Off-campus","Self","Low","Near"
2022.29961666801,"High","Medium","Off-campus","Self","Low","Near"
2849.30334618699,"High","Medium","Off-campus","Self","Low","Near"
2500.1772059181,"High","Medium","Off-campus","Self","Low","Near"
2037.18215959376,"High","Medium","Off-campus","Self","Low","Near"
2197.20852082989,"High","Medium","Off-campus","Self","Low","Near"
2053.62997885067,"High","Medium","Off-campus","Self","Low","Near"
2599.70258722093,"Low","High","Off-campus","Self","Low","Near"
2378.10324410838,"Low","High","Off-campus","Self","Low","Near"
1983.71373582591,"Low","High","Off-campus","Self","Low","Near"
2185.79851480802,"Low","High","Off-campus","Self","Low","Near"
1946.41501302029,"Low","High","Off-campus","Self","Low","Near"
1930.93827634611,"Low","High","Off-campus","Self","Low","Near"
1852.84929053744,"Low","High","Off-campus","Self","Low","Near"
1901.34568313512,"Low","High","Off-campus","Self","Low","Near"
2462.72686683417,"Low","High","Off-campus","Self","Low","Near"
2036.49296872864,"Low","High","Off-campus","Self","Low","Near"
2079.8113091069,"Low","High","Off-campus","Self","Low","Near"
2110.92185739977,"Low","High","Off-campus","Self","Low","Near"
2358.11896962133,"Low","High","Off-campus","Self","Low","Near"
1920.9840422638,"Low","High","Off-campus","Self","Low","Near"
1801.87321240199,"Low","High","Off-campus","Self","Low","Near"
2468.9242331008,"Low","High","Off-campus","Self","Low","Near"
1939.70919577368,"Low","High","Off-campus","Self","Low","Near"
1869.23350751503,"Low","High","Off-campus","Self","Low","Near"
1740.93172027918,"Low","High","Off-campus","Self","Low","Near"
1728.82106942055,"Low","High","Off-campus","Self","Low","Near"
1906.5066301755,"High","High","Off-campus","Self","Low","Near"
2204.49645429163,"High","High","Off-campus","Self","Low","Near"
2327.46203473243,"High","High","Off-campus","Self","Low","Near"
2226.8970884589,"High","High","Off-campus","Self","Low","Near"
1959.08567572619,"High","High","Off-campus","Self","Low","Near"
2064.93748434615,"High","High","Off-campus","Self","Low","Near"
1873.85088407998,"High","High","Off-campus","Self","Low","Near"
1870.6954596065,"High","High","Off-campus","Self","Low","Near"
2271.16262474423,"High","High","Off-campus","Self","Low","Near"
1796.10185534911,"High","High","Off-campus","Self","Low","Near"
2538.82349137312,"High","High","Off-campus","Self","Low","Near"
2027.42010150854,"High","High","Off-campus","Self","Low","Near"
2103.6347066573,"High","High","Off-campus","Self","Low","Near"
1865.36807381511,"High","High","Off-campus","Self","Low","Near"
1906.40282755918,"High","High","Off-campus","Self","Low","Near"
1720.74596692369,"High","High","Off-campus","Self","Low","Near"
2004.26865290682,"High","High","Off-campus","Self","Low","Near"
2154.74560123112,"High","High","Off-campus","Self","Low","Near"
2131.07608604035,"High","High","Off-campus","Self","Low","Near"
1854.61587823631,"High","High","Off-campus","Self","Low","Near"
2952.8445072865,"Low","Low","Apartment","Self","Low","Near"
3024.45032041428,"Low","Low","Apartment","Self","Low","Near"
3524.01516746159,"Low","Low","Apartment","Self","Low","Near"
2865.67409483356,"Low","Low","Apartment","Self","Low","Near"
3105.23710140495,"Low","Low","Apartment","Self","Low","Near"
3625.59045541973,"Low","Low","Apartment","Self","Low","Near"
3124.7562786678,"Low","Low","Apartment","Self","Low","Near"
2810.03982404465,"Low","Low","Apartment","Self","Low","Near"
2983.80764118148,"Low","Low","Apartment","Self","Low","Near"
3271.36499472622,"Low","Low","Apartment","Self","Low","Near"
3056.09928208256,"Low","Low","Apartment","Self","Low","Near"
3009.53090911255,"Low","Low","Apartment","Self","Low","Near"
3064.02069146789,"Low","Low","Apartment","Self","Low","Near"
3172.62416178481,"Low","Low","Apartment","Self","Low","Near"
3549.62719278646,"Low","Low","Apartment","Self","Low","Near"
3127.85872196528,"Low","Low","Apartment","Self","Low","Near"
3420.19987403788,"Low","Low","Apartment","Self","Low","Near"
3307.68852891264,"Low","Low","Apartment","Self","Low","Near"
3121.59002612346,"Low","Low","Apartment","Self","Low","Near"
2766.77449927735,"Low","Low","Apartment","Self","Low","Near"
3019.72067061187,"High","Low","Apartment","Self","Low","Near"
3027.53238671538,"High","Low","Apartment","Self","Low","Near"
3161.78860819038,"High","Low","Apartment","Self","Low","Near"
3475.04966941671,"High","Low","Apartment","Self","Low","Near"
3723.26974345777,"High","Low","Apartment","Self","Low","Near"
3536.89526474594,"High","Low","Apartment","Self","Low","Near"
3116.71225891776,"High","Low","Apartment","Self","Low","Near"
2710.86815111059,"High","Low","Apartment","Self","Low","Near"
3052.80503398206,"High","Low","Apartment","Self","Low","Near"
3172.30180576832,"High","Low","Apartment","Self","Low","Near"
3361.25325101686,"High","Low","Apartment","Self","Low","Near"
3390.63199212107,"High","Low","Apartment","Self","Low","Near"
3321.07735735412,"High","Low","Apartment","Self","Low","Near"
2801.18141255013,"High","Low","Apartment","Self","Low","Near"
3362.41076140834,"High","Low","Apartment","Self","Low","Near"
3038.36069589319,"High","Low","Apartment","Self","Low","Near"
3193.70067504031,"High","Low","Apartment","Self","Low","Near"
3168.63779429343,"High","Low","Apartment","Self","Low","Near"
3257.04169124263,"High","Low","Apartment","Self","Low","Near"
3156.16874570653,"High","Low","Apartment","Self","Low","Near"
2433.13122560358,"Low","Medium","Apartment","Self","Low","Near"
3034.12399119336,"Low","Medium","Apartment","Self","Low","Near"
2946.50664208742,"Low","Medium","Apartment","Self","Low","Near"
2783.58709368044,"Low","Medium","Apartment","Self","Low","Near"
2879.53612776167,"Low","Medium","Apartment","Self","Low","Near"
2883.50966134212,"Low","Medium","Apartment","Self","Low","Near"
2905.25486714025,"Low","Medium","Apartment","Self","Low","Near"
3260.21154149437,"Low","Medium","Apartment","Self","Low","Near"
2795.23740526663,"Low","Medium","Apartment","Self","Low","Near"
2892.01634597116,"Low","Medium","Apartment","Self","Low","Near"
3142.09596826727,"Low","Medium","Apartment","Self","Low","Near"
3113.54525584423,"Low","Medium","Apartment","Self","Low","Near"
3136.31577759509,"Low","Medium","Apartment","Self","Low","Near"
2705.63299973511,"Low","Medium","Apartment","Self","Low","Near"
3350.62068257321,"Low","Medium","Apartment","Self","Low","Near"
2866.67521773255,"Low","Medium","Apartment","Self","Low","Near"
3316.71296117672,"Low","Medium","Apartment","Self","Low","Near"
2512.27432849232,"Low","Medium","Apartment","Self","Low","Near"
2855.24589658856,"Low","Medium","Apartment","Self","Low","Near"
3162.4786427423,"Low","Medium","Apartment","Self","Low","Near"
2671.1894531943,"High","Medium","Apartment","Self","Low","Near"
2661.82775794556,"High","Medium","Apartment","Self","Low","Near"
2615.36532409828,"High","Medium","Apartment","Self","Low","Near"
2586.87168016532,"High","Medium","Apartment","Self","Low","Near"
2740.7101167049,"High","Medium","Apartment","Self","Low","Near"
2932.79479323975,"High","Medium","Apartment","Self","Low","Near"
2346.44737551982,"High","Medium","Apartment","Self","Low","Near"
2902.99510834307,"High","Medium","Apartment","Self","Low","Near"
3159.16876160414,"High","Medium","Apartment","Self","Low","Near"
3359.39350456011,"High","Medium","Apartment","Self","Low","Near"
3175.29399805015,"High","Medium","Apartment","Self","Low","Near"
3039.19369094899,"High","Medium","Apartment","Self","Low","Near"
2418.31740022142,"High","Medium","Apartment","Self","Low","Near"
2699.6233229983,"High","Medium","Apartment","Self","Low","Near"
2761.98838585435,"High","Medium","Apartment","Self","Low","Near"
3025.88097568922,"High","Medium","Apartment","Self","Low","Near"
2823.58216649906,"High","Medium","Apartment","Self","Low","Near"
2535.33784298496,"High","Medium","Apartment","Self","Low","Near"
3271.10892702353,"High","Medium","Apartment","Self","Low","Near"
3077.84782294899,"High","Medium","Apartment","Self","Low","Near"
2609.35756812276,"Low","High","Apartment","Self","Low","Near"
2854.52715258145,"Low","High","Apartment","Self","Low","Near"
2215.30642819126,"Low","High","Apartment","Self","Low","Near"
2715.20507444745,"Low","High","Apartment","Self","Low","Near"
2419.27190592164,"Low","High","Apartment","Self","Low","Near"
2720.93638046268,"Low","High","Apartment","Self","Low","Near"
2534.79451133498,"Low","High","Apartment","Self","Low","Near"
2708.24017825786,"Low","High","Apartment","Self","Low","Near"
2883.87940376485,"Low","High","Apartment","Self","Low","Near"
2551.82252257922,"Low","High","Apartment","Self","Low","Near"
2804.38965923802,"Low","High","Apartment","Self","Low","Near"
2252.89149121301,"Low","High","Apartment","Self","Low","Near"
2369.598889891,"Low","High","Apartment","Self","Low","Near"
2929.80442784704,"Low","High","Apartment","Self","Low","Near"
2644.34699325598,"Low","High","Apartment","Self","Low","Near"
2036.94429489157,"Low","High","Apartment","Self","Low","Near"
2208.99063697941,"Low","High","Apartment","Self","Low","Near"
2499.80474610272,"Low","High","Apartment","Self","Low","Near"
2766.44485108362,"Low","High","Apartment","Self","Low","Near"
2524.52918607119,"Low","High","Apartment","Self","Low","Near"
2706.04686800516,"High","High","Apartment","Self","Low","Near"
2789.75134444696,"High","High","Apartment","Self","Low","Near"
2967.76370721573,"High","High","Apartment","Self","Low","Near"
2564.00418331874,"High","High","Apartment","Self","Low","Near"
2537.00452345478,"High","High","Apartment","Self","Low","Near"
2111.69066021443,"High","High","Apartment","Self","Low","Near"
2574.83189852196,"High","High","Apartment","Self","Low","Near"
2407.03748552611,"High","High","Apartment","Self","Low","Near"
2306.49760429898,"High","High","Apartment","Self","Low","Near"
2505.02344223811,"High","High","Apartment","Self","Low","Near"
2803.73579318591,"High","High","Apartment","Self","Low","Near"
2051.81287782785,"High","High","Apartment","Self","Low","Near"
2443.18017819864,"High","High","Apartment","Self","Low","Near"
2579.15932089568,"High","High","Apartment","Self","Low","Near"
2326.69810748626,"High","High","Apartment","Self","Low","Near"
2633.47573562481,"High","High","Apartment","Self","Low","Near"
2652.85748015393,"High","High","Apartment","Self","Low","Near"
2541.740960181,"High","High","Apartment","Self","Low","Near"
1933.52545155999,"High","High","Apartment","Self","Low","Near"
3192.86453646666,"High","High","Apartment","Self","Low","Near"
2398.67518563295,"Low","Low","On-campus","NSFAS","Low","Near"
2612.79832039692,"Low","Low","On-campus","NSFAS","Low","Near"
2518.44162275914,"Low","Low","On-campus","NSFAS","Low","Near"
2706.16830870459,"Low","Low","On-campus","NSFAS","Low","Near"
2654.41486159352,"Low","Low","On-campus","NSFAS","Low","Near"
2397.55170719287,"Low","Low","On-campus","NSFAS","Low","Near"
2544.54194305213,"Low","Low","On-campus","NSFAS","Low","Near"
2213.64779221903,"Low","Low","On-campus","NSFAS","Low","Near"
2664.23075272483,"Low","Low","On-campus","NSFAS","Low","Near"
2334.74041527891,"Low","Low","On-campus","NSFAS","Low","Near"
3054.19333844705,"Low","Low","On-campus","NSFAS","Low","Near"
2037.23777607795,"Low","Low","On-campus","NSFAS","Low","Near"
2334.0031892585,"Low","Low","On-campus","NSFAS","Low","Near"
2656.34496568981,"Low","Low","On-campus","NSFAS","Low","Near"
2577.53313671967,"Low","Low","On-campus","NSFAS","Low","Near"
2302.62974037125,"Low","Low","On-campus","NSFAS","Low","Near"
2200.80481444812,"Low","Low","On-campus","NSFAS","Low","Near"
2486.11892617767,"Low","Low","On-campus","NSFAS","Low","Near"
2446.42314670827,"Low","Low","On-campus","NSFAS","Low","Near"
2002.42969068398,"Low","Low","On-campus","NSFAS","Low","Near"
2458.63776678346,"High","Low","On-campus","NSFAS","Low","Near"
2497.55757892311,"High","Low","On-campus","NSFAS","Low","Near"
2493.68159924546,"High","Low","On-campus","NSFAS","Low","Near"
2186.24573934933,"High","Low","On-campus","NSFAS","Low","Near"
2569.03331957566,"High","Low","On-campus","NSFAS","Low","Near"
2794.64253423981,"High","Low","On-campus","NSFAS","Low","Near"
2564.05910079495,"High","Low","On-campus","NSFAS","Low","Near"
2166.10288240641,"High","Low","On-campus","NSFAS","Low","Near"
2341.08863257702,"High","Low","On-campus","NSFAS","Low","Near"
2536.5259048884,"High","Low","On-campus","NSFAS","Low","Near"
2288.23859217043,"High","Low","On-campus","NSFAS","Low","Near"
1910.58841624618,"High","Low","On-campus","NSFAS","Low","Near"
2671.06270500705,"High","Low","On-campus","NSFAS","Low","Near"
2242.63059709387,"High","Low","On-campus","NSFAS","Low","Near"
2306.60993230793,"High","Low","On-campus","NSFAS","Low","Near"
2825.97515225113,"High","Low","On-campus","NSFAS","Low","Near"
2256.46376759865,"High","Low","On-campus","NSFAS","Low","Near"
2661.43288504732,"High","Low","On-campus","NSFAS","Low","Near"
2134.82928029531,"High","Low","On-campus","NSFAS","Low","Near"
2361.36439923151,"High","Low","On-campus","NSFAS","Low","Near"
2131.61099521588,"Low","Medium","On-campus","NSFAS","Low","Near"
1857.83714389391,"Low","Medium","On-campus","NSFAS","Low","Near"
1991.31293377277,"Low","Medium","On-campus","NSFAS","Low","Near"
2142.78961176792,"Low","Medium","On-campus","NSFAS","Low","Near"
2317.67399218348,"Low","Medium","On-campus","NSFAS","Low","Near"
1737.36336414372,"Low","Medium","On-campus","NSFAS","Low","Near"
2062.56144019718,"Low","Medium","On-campus","NSFAS","Low","Near"
2339.10160963637,"Low","Medium","On-campus","NSFAS","Low","Near"
2015.2977100056,"Low","Medium","On-campus","NSFAS","Low","Near"
2206.82298041824,"Low","Medium","On-campus","NSFAS","Low","Near"
2273.05714251611,"Low","Medium","On-campus","NSFAS","Low","Near"
2216.95875383292,"Low","Medium","On-campus","NSFAS","Low","Near"
2313.31441986785,"Low","Medium","On-campus","NSFAS","Low","Near"
2119.32283475566,"Low","Medium","On-campus","NSFAS","Low","Near"
2046.58087160197,"Low","Medium","On-campus","NSFAS","Low","Near"
1489.21276199276,"Low","Medium","On-campus","NSFAS","Low","Near"
2126.76474538013,"Low","Medium","On-campus","NSFAS","Low","Near"
2257.57117409,"Low","Medium","On-campus","NSFAS","Low","Near"
2283.84971021704,"Low","Medium","On-campus","NSFAS","Low","Near"
2011.18041217169,"Low","Medium","On-campus","NSFAS","Low","Near"
2594.87572744379,"High","Medium","On-campus","NSFAS","Low","Near"
2221.60610490721,"High","Medium","On-campus","NSFAS","Low","Near"
2181.57896461472,"High","Medium","On-campus","NSFAS","Low","Near"
2468.06669486713,"High","Medium","On-campus","NSFAS","Low","Near"
1970.38344467019,"High","Medium","On-campus","NSFAS","Low","Near"
2037.41534401882,"High","Medium","On-campus","NSFAS","Low","Near"
2749.36312001244,"High","Medium","On-campus","NSFAS","Low","Near"
2152.78229680522,"High","Medium","On-campus","NSFAS","Low","Near"
2558.39210535208,"High","Medium","On-campus","NSFAS","Low","Near"
1790.37333877137,"High","Medium","On-campus","NSFAS","Low","Near"
2102.37079948927,"High","Medium","On-campus","NSFAS","Low","Near"
2244.60597590921,"High","Medium","On-campus","NSFAS","Low","Near"
2225.00963630145,"High","Medium","On-campus","NSFAS","Low","Near"
1898.59093512229,"High","Medium","On-campus","NSFAS","Low","Near"
2154.81481865634,"High","Medium","On-campus","NSFAS","Low","Near"
1880.644836722,"High","Medium","On-campus","NSFAS","Low","Near"
2328.17583131107,"High","Medium","On-campus","NSFAS","Low","Near"
2421.19377246516,"High","Medium","On-campus","NSFAS","Low","Near"
1593.75307587815,"High","Medium","On-campus","NSFAS","Low","Near"
2458.92336557504,"High","Medium","On-campus","NSFAS","Low","Near"
1539.73887579788,"Low","High","On-campus","NSFAS","Low","Near"
1963.69231724566,"Low","High","On-campus","NSFAS","Low","Near"
2014.97565953565,"Low","High","On-campus","NSFAS","Low","Near"
1800.02754297464,"Low","High","On-campus","NSFAS","Low","Near"
1688.72151078505,"Low","High","On-campus","NSFAS","Low","Near"
1891.33025531051,"Low","High","On-campus","NSFAS","Low","Near"
1959.70467517861,"Low","High","On-campus","NSFAS","Low","Near"
2070.82570498718,"Low","High","On-campus","NSFAS","Low","Near"
1336.91575402451,"Low","High","On-campus","NSFAS","Low","Near"
1440.90518298524,"Low","High","On-campus","NSFAS","Low","Near"
2207.60058529705,"Low","High","On-campus","NSFAS","Low","Near"
2111.65721177789,"Low","High","On-campus","NSFAS","Low","Near"
1958.82223722692,"Low","High","On-campus","NSFAS","Low","Near"
2028.79460177777,"Low","High","On-campus","NSFAS","Low","Near"
2079.29372941025,"Low","High","On-campus","NSFAS","Low","Near"
1184.76930038358,"Low","High","On-campus","NSFAS","Low","Near"
